c:\Users\Iban\Downloads\basque_profiles.jsonGender,Username,City,NameSet,Surname,EmailAddress,Age,Latitude,Longitude
female,Trignis,"Albánchez de Úbeda",Hispanic,Nieto,GiuniaNietoRazo@rhyta.com,59,37.790697,-3.509642
male,Usat1990,Gimileo,Hispanic,Pedroza,RaulPedrozaCalderon@fleckens.hu,34,42.557322,-2.729109
male,Quirded62,Fasnia,Hispanic,Méndez,DidioMendezMunoz@gustr.com,62,28.202299,-16.420482
male,Shmened,"Aldeanueva de Figueroa",Hispanic,Iglesias,BenicioIglesiasPedraza@rhyta.com,29,41.180887,-5.493908
female,Beittlet,"Madrigal de las Altas Torres",Hispanic,Armijo,AdoracionArmijoAdame@superrito.com,29,41.005872,-4.911837
female,Haked1996,Comares,Hispanic,Urías,NaroaUriasMacias@rhyta.com,28,36.770568,-4.278786
male,Turitch,Espartinas,Hispanic,Valdez,LeuterValdezRuiz@fleckens.hu,61,37.351388,-6.16222
female,Revelf,Fuenteliante,Hispanic,Treviño,TaraTrevinoArmendariz@fleckens.hu,59,40.878956,-6.563446
male,Lithen,Alcover,Hispanic,Villaseñor,JanocVillasenorBalderas@jourrapide.com,43,41.309805,1.077559
female,Fortioneaks,Benifato,Hispanic,Abreu,AuraAbreuSalas@einrot.com,40,38.690228,-0.268094
female,Twoment,Paymogo,Hispanic,Banda,YaraBandaVazquez@jourrapide.com,26,37.82962,-7.388426
male,Hommat,Leiro,Hispanic,Godínez,PirroGodinezPorras@jourrapide.com,31,42.471989,-8.638865
male,Fead1991,Valdeganga,Hispanic,Ramírez,MosheRamirezRojo@rhyta.com,33,39.238617,-1.635805
female,Hiscitifted,"Albelda de Iregua",Hispanic,Rentería,LibitinaRenteriaMatos@dayrep.com,70,42.411216,-2.382271
male,Shum1987,Mojados,Hispanic,Puga,EscipionPugaPineda@einrot.com,37,41.494309,-4.706319
male,Themady,"Peralejos de Abajo",Hispanic,Orosco,PompeyoOroscoAdame@rhyta.com,63,40.978414,-6.276149
female,Cappencond,Piñuécar,Hispanic,Rentería,MagdaRenteriaTirado@superrito.com,33,41.016649,-3.720675
female,Tichours,Villarquemado,Hispanic,Mojica,DenisaMojicaHolguin@superrito.com,75,40.438622,-1.30839
male,Wagood,Berga,Hispanic,Villanueva,IoavVillanuevaBarraza@rhyta.com,65,42.086667,1.799893
male,Conar1986,Cantoria,Hispanic,Pina,ColonPinaCovas@fleckens.hu,38,37.329459,-1.640788
female,Loffinds00,Gallur,Hispanic,Monroy,NarelllaMonroyMendez@rhyta.com,24,41.943601,-1.293673
male,Evereligh,"La Solana",Hispanic,Henríquez,EliecerHenriquezApodaca@teleworm.us,24,38.9965,-3.249632
female,Shads1983,Zerain,Hispanic,Alva,NumeriaAlvaBernal@gustr.com,40,42.999325,-2.171119
male,Thertied,Mazaricos,Hispanic,Perales,EcoPeralesFonseca@cuvox.de,35,42.97244,-8.901246
female,Himpled,Espiel,Hispanic,Griego,KamilleGriegoCalderon@dayrep.com,19,38.108802,-5.073525
female,Hisique,"Aldea del Fresno",Hispanic,Heredia,MeleaHerediaVarela@teleworm.us,57,40.318221,-4.19385
female,Devens2004,Garachico,Hispanic,Tamez,GundeniaTamezSantana@dayrep.com,20,28.424031,-16.703376
male,Weent1975,Noreña,Hispanic,Nava,EmilianNavaJaquez@armyspy.com,49,43.284381,-5.606208
male,Eavoldisely,"El Arenal",Hispanic,Varela,DylanVarelaAtencio@teleworm.us,20,40.279221,-5.021099
female,Swenoboy,Boal,Hispanic,Miranda,LoruhamaMirandaGaray@fleckens.hu,24,43.360763,-6.866203
female,Suponlorhou,"Perales de Tajuña",Hispanic,Alicea,BabsAliceaVelazquez@einrot.com,25,40.248166,-3.407136
female,Saids1995,Valgañón,Hispanic,Santillán,EufemiaSantillanMuro@jourrapide.com,29,42.272038,-3.146962
male,Houry1959,Casariche,Hispanic,Cazares,EleodoroCazaresMalave@teleworm.us,65,37.289386,-4.737718
male,Tortar,"Tarazona de la Mancha",Hispanic,Valenzuela,TercioValenzuelaRoybal@gustr.com,63,39.295918,-1.879676
male,Sulow1972,Ulldecona,Hispanic,Tamayo,HernandoTamayoZelaya@cuvox.de,52,40.611842,0.493555
male,Bervelp,Rois,Hispanic,Terrazas,GyorgyTerrazasLoya@superrito.com,69,42.776134,-8.641754
female,Painsty1974,"Galindo y Perahuy",Hispanic,Limón,ProserpinaLimonVanegas@jourrapide.com,50,40.882145,-5.782431
female,Ponerver,"Cervera de Buitrago",Hispanic,Reyna,AstraReynaTellez@teleworm.us,66,41.007975,-3.514663
male,Advaltepi,"El Pinar",Hispanic,Saavedra,CurcioSaavedraToledo@einrot.com,39,36.979954,-3.583773
female,Finiz1958,"Camarzana de Tera",Hispanic,González,LlancaGonzalezCamarillo@rhyta.com,66,41.92674,-6.016483
female,Comboden,Albaida,Hispanic,Ayala,MargaAyalaMelendez@jourrapide.com,71,38.94552,-0.583337
female,Proughat,"San Millán de la Cogolla",Hispanic,Escobedo,MarisaEscobedoEsparza@cuvox.de,39,42.485663,-2.823354
female,Wereeld,"la Vall d'Uixó",Hispanic,Oquendo,IratiOquendoHerrera@cuvox.de,76,39.812216,-0.201085
male,Wermell84,Armilla,Hispanic,Jurado,SebastenJuradoColunga@armyspy.com,40,37.053248,-3.559328
female,Olower,Ibias,Hispanic,Tapia,AniaTapiaMiramontes@rhyta.com,54,43.162274,-6.74388
male,Manto1973,Cortegana,Hispanic,Curiel,EvangelinoCurielTafoya@cuvox.de,51,37.893403,-6.717978
male,Ressell,Lerma,Hispanic,Llarnas,AristoclesLlarnasZamora@superrito.com,24,41.941609,-3.707465
male,Aniffeepull,Juviles,Hispanic,Correa,HartmanCorreaCandelaria@dayrep.com,30,36.888522,-3.173689
male,Ressat1972,Palafrugell,Hispanic,Villalpando,KenVillalpandoBernal@fleckens.hu,52,42.007672,3.188466
female,Succans,Parla,Hispanic,Verduzco,RuthVerduzcoCamarillo@fleckens.hu,50,40.173308,-3.780075
male,Waallovar,Ordes,Hispanic,Alonzo,AndresAlonzoMora@gustr.com,26,43.043656,-7.935012
female,Sidlits,"Villanueva del Trabuco",Hispanic,Altamirano,LeonilaAltamiranoRocha@einrot.com,60,37.115465,-4.294154
male,Froweed,Valdelacasa,Hispanic,Montano,NathanMontanoCeja@fleckens.hu,65,40.492469,-5.69128
female,Brephe,Alcorisa,Hispanic,Vanegas,MariselVanegasCastellanos@gustr.com,24,40.79768,-0.371082
female,Harded,Atarfe,Hispanic,Madera,HildeMaderaRobles@dayrep.com,63,37.30878,-3.653508
male,Liested,"Los Blázquez",Hispanic,Padrón,AdelmarPadronTejada@rhyta.com,30,38.340907,-5.281774
female,Thals1964,Chóvar,Hispanic,Vela,BahiaVelaZavala@jourrapide.com,60,39.87703,-0.283955
male,Greasse,"Torrejón de Ardoz",Hispanic,Meza,CataldoMezaSuarez@jourrapide.com,42,40.480751,-3.475806
